2015-09-245 08:53:18 Server Starting
2015-09-245 08:53:18 Waiting for packet
2015-09-245 08:53:23 /127.0.0.1:42778 Got Packet
2015-09-245 08:53:23 Waiting for packet
2015-09-245 08:53:31 /127.0.0.1:60197 Got Packet
2015-09-245 08:53:31 Waiting for packet
2015-09-245 08:53:33 /127.0.0.1:60197 Got Packet
2015-09-245 08:53:33 Waiting for packet
2015-09-245 08:53:44 /127.0.0.1:42778 Got Packet
2015-09-245 08:53:44 Waiting for packet
2015-09-245 08:53:46 /127.0.0.1:42778 Got Packet
2015-09-245 08:53:46 Waiting for packet
2015-09-245 08:53:47 /127.0.0.1:42778 Got Packet
2015-09-245 08:53:47 Waiting for packet
